Sex	Description	mean	median	min	max
Female	Ob: Woman's age at child's birth	31.97441831234375	32.22724152	23.99178696	38.11909485
Female	Init: Woman's body mass index	25.4682015184375	24.670840265	18.59715652	40.16693115
Female	Smoking in pregnancy	0.140625	0	0	1
Female	Ob: Gestational age - from LMP data, or U/S scan or Elaine	39.8659475	40.21387	33.14286	42.732
Female	B cells	0.09545300670579784	0.08688764127404014	0.008956839472986686	0.21121464430323847
Female	CD4+ T-cells	0.17031585502336363	0.16856122325484402	0.05376314888163906	0.3366752083050877
Female	CD8+ T-cells	0.11950170097737957	0.11508379173965201	0.04646243963684246	0.3056576626490744
Female	Granulocytes	0.46592713061068547	0.47831827191405407	0.18647593078177374	0.663056856345082
Female	Monocytes	0.04446682223985931	0.04442368831183767	0	0.11066982878087782
Female	Natural Killer Cells	0.0036604824047256827	0	-1.3877787807814457e-17	0.04328776292970738
Female	Red Blood Cells	0.11664668676421357	0.09632641543420394	0.03828544829695156	0.3220448199479476
Female	8 yr DXA: Total BMC (kg), without heads,adjusted for sex and age	0.724113172390625	0.715424925	0.460813493	1.076244712
Female	6 yr DXA: Total BMC (kg), without heads,adjusted for sex and age	0.55909476053125	0.5561633109999999	0.391478449	0.733957589
Female	6yr PQCT: 38% - Periosteal circumference (circular ring model) (mm)	52.6938125	51.9935	44.735	64.348
Female	6yr PQCT: 38% - Cortical density (mg/cm3)	1039.99375	1041.4	949.9	1110.9
Male	Ob: Woman's age at child's birth	31.266926590408165	31.80287552	24.1697464	37.73305893
Male	Init: Woman's body mass index	23.97625459979592	23.11589622	17.39686394	32.41731262
Male	Smoking in pregnancy	0.14285714285714285	0	0	1
Male	Ob: Gestational age - from LMP data, or U/S scan or Elaine	39.803468979591834	39.78571	35.76577	42.14286
Male	B cells	0.09195311563057944	0.08636453301625102	0.049263421056357726	0.18088048070615542
Male	CD4+ T-cells	0.167635816025739	0.15388605923473142	0.060231729734216845	0.33324965935747786
Male	CD8+ T-cells	0.13699235195141765	0.1316533379994387	0.0717711122777347	0.2563763313495851
Male	Granulocytes	0.42036957662693136	0.40093808603328296	0.23754959318768853	0.6397429105561112
Male	Monocytes	0.0426873338669315	0.04175003376610956	0	0.07811653668124549
Male	Natural Killer Cells	0.005296904500096927	0	-1.3877787807814457e-17	0.07234382964958257
Male	Red Blood Cells	0.15903789752773426	0.12981178278787991	0.04152617406874521	0.3860206744450587
Male	8 yr DXA: Total BMC (kg), without heads,adjusted for sex and age	0.7049544326122449	0.690803647	0.497536451	1.002283454
Male	6 yr DXA: Total BMC (kg), without heads,adjusted for sex and age	0.5323936714081633	0.522975683	0.423693538	0.671588242
Male	6yr PQCT: 38% - Periosteal circumference (circular ring model) (mm)	51.88955102040816	51.827	44.098	62.465
Male	6yr PQCT: 38% - Cortical density (mg/cm3)	1031.6857142857143	1030.1	961	1111.1
