Description	mean	median	min	max
Woman's Age at Time of Birth	30.67487312550082	31.4	-58.295890410958904	41.95068493150685
EP: Woman's BMI	26.28201861971831	25.0436	17.53992	41.68217
True if Yes in Late (dcrsmok) or early (acrsmok) pregnancy , NA if NA in both, FALSE if both No or No & NA	0.07754010695187166	0	0	1
Obst: Gestational age (weeks)	40.1573721657754	40.28571	34.57143	42.57143
B cells	0.032531812628857244	0.029644588665794575	0.010833102633386214	0.10574921445770083
CD4+ T-cells	0.006267929365872574	1.6077036812080298e-18	-3.469446951953614e-18	0.06663522856783717
CD8+ T-cells	0.01209559559127295	0.00933130218726721	-7.470351291274912e-18	0.0761708818163851
Granulocytes	0.060871925220358766	0.036834145174454234	0	0.5053433236093329
Monocytes	0.01202838057886266	6.552251045841931e-4	-3.4686190092491023e-18	0.16648020426656804
Natural Killer Cells	0.02297357484701405	0.02043569349576257	0.0013924226074134903	0.10693065271196073
Endothelial	0.134417754533899	0.13320564593735656	0.053850852219815996	0.20075570545284116
Epithelial	0.16862786369713445	0.16224947951413343	0.02182042037696236	0.4163973036042411
Stromal	0.5820337540794174	0.6229231762969812	0.1381887349591834	0.8560951768261769
cam: 34 week VitD	54.53631868131868	55.025000000000006	10.7	119
cam: 11 week VitD	44.82506738544475	44.95	14.4	90.2
4yr DXA: Subtotal BMC (g)	356.25951807888447	352.5179079	237.3036572	455.9352349
4yr DXA: Subtotal BMD (g/cm sq)	0.4708351203187251	0.4698099	0.3792011	0.5716137
